filename;divider;enhancer;lowbandCompressor;lowbandImpulseNumber;lowbandSeparateExcitation;highbandCompressor;highbandImpulseNumber;highbandSeparateExcitation;PEAQ;PESQ
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;8;;G7231Compressor;32;SepExc;-2.6954280122332843;3.111
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;8;;G7231Compressor;4;;-3.234572543420798;3.063
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;8;;G7231Compressor;8;;-3.0369932024285635;3.082
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;8;;G7231Compressor;16;;-2.9131154059262014;3.099
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;8;;G7231Compressor;32;;-2.8626895881085304;3.103
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;8;;DummyCompressor;;;-2.6518333352392345;3.112
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;16;;G7231Compressor;4;SepExc;-2.9547984558425844;3.517
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;16;;G7231Compressor;8;SepExc;-2.53882442201654;3.545
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;16;;G7231Compressor;16;SepExc;-2.290492245284217;3.565
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;16;;G7231Compressor;32;SepExc;-2.11315945154451;3.570
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;16;;G7231Compressor;4;;-2.894969512057564;3.516
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;16;;G7231Compressor;8;;-2.5965644418086535;3.539
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;16;;G7231Compressor;16;;-2.410961526493282;3.557
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;16;;G7231Compressor;32;;-2.360596413143049;3.558
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;16;;DummyCompressor;;;-2.0568910564977525;3.572
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;32;;G7231Compressor;4;SepExc;-2.816121050883579;3.718
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;32;;G7231Compressor;8;SepExc;-2.303551929141819;3.750
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;32;;G7231Compressor;16;SepExc;-1.971361059231759;3.774
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;32;;G7231Compressor;32;SepExc;-1.7595738193083847;3.787
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;32;;G7231Compressor;4;;-2.7705673133373097;3.713
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;32;;G7231Compressor;8;;-2.408438509162191;3.743
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;32;;G7231Compressor;16;;-2.1462621771909998;3.768
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;32;;G7231Compressor;32;;-2.0512985169490436;3.777
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;32;;DummyCompressor;;;-1.6866769391399874;3.790
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;DummyCompressor;;;G7231Compressor;4;SepExc;-1.9749494407038561;4.327
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;DummyCompressor;;;G7231Compressor;8;SepExc;-1.2828682814718828;4.391
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;DummyCompressor;;;G7231Compressor;16;SepExc;-0.8417098591827243;4.433
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;DummyCompressor;;;G7231Compressor;32;SepExc;-0.5294960138233007;4.451
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;DummyCompressor;;;G7231Compressor;4;;-1.8776941643303524;4.331
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;DummyCompressor;;;G7231Compressor;8;;-1.4218731733758205;4.381
